,genero,monto,hora,establecimiento,ciudad,tipo_tc,linea_tc,interes_tc,status_txn,is_prime,cashback,fraude,Dia,Sistema,device_score,Flag_dcto
1,F,88.7192428942306,7,No registrado,Merida,Virtual,71000,51,Aceptada,0,1.7743848578846122,0,Wednesday,ANDROID,1,0
2,F,790.0376533088386,11,No registrado,Guadalajara,Virtual,94000,56,En proceso,0,15.800753066176773,0,Friday,.,1,0
3,F,767.0053872857345,11,MPago,Guadalajara,Física,94000,56,Aceptada,0,7.670053872857345,0,Sunday,WEB,3,0
4,F,254.17105258833985,10,No registrado,Guadalajara,Física,94000,56,Aceptada,0,2.5417105258833983,0,Thursday,%%,3,0
5,F,37.003747243813166,3,No registrado,Guadalajara,Física,94000,56,Rechazada,0,0.3700374724381317,0,Monday,%%,2,0
6,F,334.51601683772134,2,Abarrotes,Guadalajara,Física,94000,56,Aceptada,0,3.010644151539492,0,Monday,%%,1,1
7,F,322.2644048457157,13,MPago,Guadalajara,Física,94000,56,Aceptada,0,3.222644048457157,0,Saturday,%%,4,0
10,F,60.74276394311262,10,No registrado,Toluca,Física,55000,57,Aceptada,0,0.6074276394311262,0,Saturday,ANDROID,1,0
11,F,517.541718149274,14,Farmacia,Toluca,Física,55000,57,Aceptada,0,4.657875463343466,0,Tuesday,WEB,2,1
12,F,436.950265650075,6,MPago,Toluca,Virtual,55000,57,En proceso,0,6.9912042504012,0,Thursday,%%,1,1
13,F,439.3063117183133,16,MPago,Toluca,Física,55000,57,Aceptada,0,4.393063117183133,0,Sunday,ANDROID,5,0
14,F,599.0141829732498,22,Super,Toluca,Física,55000,57,Aceptada,0,4.792113463785999,0,Thursday,WEB,5,1
15,F,576.2429865801103,8,No registrado,Toluca,Física,55000,57,Aceptada,0,5.762429865801103,0,Saturday,ANDROID,2,0
16,F,415.3643118721498,19,Super,Toluca,Física,62000,34,Aceptada,0,4.153643118721498,0,Sunday,ANDROID,2,0
20,M,680.8970682719006,15,Super,Monterrey,Física,33000,54,Aceptada,0,5.447176546175205,0,Saturday,%%,5,1
21,M,243.0206746592681,3,No registrado,Monterrey,Física,33000,54,Aceptada,0,2.430206746592681,1,Saturday,.,1,0
22,F,650.5538035551133,16,Super,Guadalajara,Física,39000,55,Aceptada,0,6.505538035551133,0,Sunday,.,3,0
23,Error registro,905.1150722075636,23,No registrado,Guadalajara,Virtual,72000,57,Aceptada,0,16.292071299736147,0,Wednesday,ANDROID,4,1
24,Error registro,392.6937372149807,10,No registrado,Guadalajara,Física,72000,57,Aceptada,0,3.926937372149807,0,Thursday,%%,1,0
25,Error registro,621.6047005556607,13,MPago,Guadalajara,Física,72000,57,Aceptada,0,6.216047005556606,0,Sunday,%%,2,0
26,Error registro,43.72167021005091,17,Abarrotes,Guadalajara,Física,72000,57,Aceptada,0,0.4372167021005091,1,Saturday,WEB,1,0
27,Error registro,444.2993420815248,6,No registrado,Guadalajara,Virtual,72000,57,En proceso,0,8.885986841630496,0,Friday,WEB,3,0
28,M,460.11880265726126,18,No registrado,No registrado,Física,76000,58,Aceptada,0,4.141069223915352,0,Sunday,ANDROID,1,1
30,M,121.71578783545988,21,Abarrotes,No registrado,Física,76000,58,Aceptada,0,1.2171578783545989,0,Sunday,.,2,0
